EventTimestamp,Symbol,EventType,PositionId,Confidence,Reason,Extra,RValue
2026-03-30T17:26:15.1690000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T17:29:39.5380000Z,GBPUSD,BotStop,0,,,,
2026-03-30T17:29:44.6010000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T17:45:25.0140000Z,GBPUSD,BotStop,0,,,,
2026-03-30T17:45:29.8890000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T17:55:04.7080000Z,GBPUSD,BotStop,0,,,,
2026-03-30T17:55:09.8960000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T18:31:06.8500000Z,GBPUSD,BotStop,0,,,,
2026-03-30T18:31:15.6930000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T18:42:28.2120000Z,GBPUSD,BotStop,0,,,,
2026-03-30T18:42:33.4000000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T19:57:16.8400000Z,GBPUSD,BotStop,0,,,,
2026-03-30T19:57:23.3710000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T20:40:09.6960000Z,GBPUSD,BotStop,0,,,,
2026-03-30T20:40:15.0710000Z,GBPUSD,BotStart,0,,Started on Minute5,,
2026-03-30T22:33:59.7150000Z,GBPUSD,BotStop,0,,,,
2026-03-30T22:34:04.9810000Z,GBPUSD,BotStart,0,,Started on Minute5,,
