EventTimestamp,Symbol,EventType,PositionId,Confidence,Reason,Extra,RValue
2026-04-02T13:02:54.7110000Z,GERMANY 40,BotStart,0,,Started on Minute5,,
2026-04-02T14:15:34.1660000Z,GERMANY 40,BotStop,0,,,,
2026-04-02T14:15:39.1700000Z,GERMANY 40,BotStart,0,,Started on Minute5,,
2026-04-02T14:31:21.2340000Z,GERMANY 40,BotStop,0,,,,
2026-04-02T14:31:25.8280000Z,GERMANY 40,BotStart,0,,Started on Minute5,,
2026-04-02T14:39:35.5350000Z,GERMANY 40,BotStop,0,,,,
2026-04-02T14:39:42.1340000Z,GERMANY 40,BotStart,0,,Started on Minute5,,
2026-04-02T15:54:42.5190000Z,GERMANY 40,BotStop,0,,,,
2026-04-02T15:54:48.1280000Z,GERMANY 40,BotStart,0,,Started on Minute5,,
2026-04-02T16:54:52.3230000Z,GERMANY 40,BotStop,0,,,,
2026-04-02T16:54:57.7920000Z,GERMANY 40,BotStart,0,,Started on Minute5,,
2026-04-02T17:46:39.5180000Z,GERMANY 40,BotStop,0,,,,
2026-04-02T17:46:47.9390000Z,GERMANY 40,BotStart,0,,Started on Minute5,,
