EventTimestamp,Symbol,EventType,PositionId,Confidence,Reason,Extra,RValue
2026-03-30T17:26:15.1690000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T17:29:39.5380000Z,US 30,BotStop,0,,,,
2026-03-30T17:29:44.5850000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T17:45:25.0140000Z,US 30,BotStop,0,,,,
2026-03-30T17:45:29.8890000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T17:55:04.7080000Z,US 30,BotStop,0,,,,
2026-03-30T17:55:09.7860000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T18:31:06.8500000Z,US 30,BotStop,0,,,,
2026-03-30T18:31:15.7090000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T18:42:28.2120000Z,US 30,BotStop,0,,,,
2026-03-30T18:42:33.5250000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T19:57:16.8400000Z,US 30,BotStop,0,,,,
2026-03-30T19:57:23.3240000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T20:40:09.6960000Z,US 30,BotStop,0,,,,
2026-03-30T20:40:15.0560000Z,US 30,BotStart,0,,Started on Minute5,,
2026-03-30T22:33:59.7150000Z,US 30,BotStop,0,,,,
2026-03-30T22:34:05.0120000Z,US 30,BotStart,0,,Started on Minute5,,
