EventTimestamp,Symbol,EventType,PositionId,Confidence,Reason,Extra,RValue
2026-03-30T17:26:14.8880000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T17:29:39.5380000Z,US TECH 100,BotStop,0,,,,
2026-03-30T17:29:44.5380000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T17:45:25.0140000Z,US TECH 100,BotStop,0,,,,
2026-03-30T17:45:29.8730000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T17:55:04.7080000Z,US TECH 100,BotStop,0,,,,
2026-03-30T17:55:09.8490000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T18:31:06.8500000Z,US TECH 100,BotStop,0,,,,
2026-03-30T18:31:15.7250000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T18:42:28.2120000Z,US TECH 100,BotStop,0,,,,
2026-03-30T18:42:33.3840000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T19:57:16.8240000Z,US TECH 100,BotStop,0,,,,
2026-03-30T19:57:23.3240000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T20:40:09.6960000Z,US TECH 100,BotStop,0,,,,
2026-03-30T20:40:15.0250000Z,US TECH 100,BotStart,0,,Started on Minute5,,
2026-03-30T22:33:59.7150000Z,US TECH 100,BotStop,0,,,,
2026-03-30T22:34:05.0120000Z,US TECH 100,BotStart,0,,Started on Minute5,,
