LogTimestamp,BarTimestamp,Symbol,Timeframe,BarOpen,BarHigh,BarLow,BarClose,BarVolume,BarSpread
2026-04-03T00:01:03.2719723Z,2026-04-03T00:00:00.0000000Z,EURUSD,M1,1.15416,1.15435,1.15415,1.15435,48,9.999999999843467E-06
2026-04-03T00:02:02.9993161Z,2026-04-03T00:01:00.0000000Z,EURUSD,M1,1.15436,1.15452,1.15433,1.15446,44,9.999999999843467E-06
2026-04-03T00:03:00.4637625Z,2026-04-03T00:02:00.0000000Z,EURUSD,M1,1.15443,1.15443,1.15435,1.15436,31,0
2026-04-03T00:04:00.1557032Z,2026-04-03T00:03:00.0000000Z,EURUSD,M1,1.15437,1.1544,1.15431,1.15432,117,1.0000000000065512E-05
2026-04-03T00:05:01.4937905Z,2026-04-03T00:04:00.0000000Z,EURUSD,M1,1.15432,1.15435,1.15432,1.15435,14,1.0000000000065512E-05
2026-04-03T00:06:28.7600501Z,2026-04-03T00:05:00.0000000Z,EURUSD,M1,1.15435,1.15435,1.15427,1.15433,28,0
2026-04-03T00:07:10.1556005Z,2026-04-03T00:06:00.0000000Z,EURUSD,M1,1.15433,1.15433,1.1543,1.15431,22,0
2026-04-03T00:08:38.9605171Z,2026-04-03T00:07:00.0000000Z,EURUSD,M1,1.15431,1.15435,1.15431,1.15435,12,0
2026-04-03T00:09:04.7823961Z,2026-04-03T00:08:00.0000000Z,EURUSD,M1,1.15435,1.15435,1.15434,1.15435,6,0
2026-04-03T00:10:00.3810658Z,2026-04-03T00:09:00.0000000Z,EURUSD,M1,1.15435,1.15435,1.15425,1.15425,24,1.0000000000065512E-05
2026-04-03T00:11:00.5860776Z,2026-04-03T00:10:00.0000000Z,EURUSD,M1,1.15424,1.15424,1.1542,1.15421,14,1.0000000000065512E-05
2026-04-03T00:12:00.4551280Z,2026-04-03T00:11:00.0000000Z,EURUSD,M1,1.1542,1.15421,1.15416,1.15418,16,0
2026-04-03T00:13:00.6546113Z,2026-04-03T00:12:00.0000000Z,EURUSD,M1,1.15418,1.15423,1.15415,1.15416,35,1.0000000000065512E-05
2026-04-03T00:14:03.2768837Z,2026-04-03T00:13:00.0000000Z,EURUSD,M1,1.15415,1.15416,1.15413,1.15415,18,0
