LogTimestamp,BarTimestamp,Symbol,Timeframe,BarOpen,BarHigh,BarLow,BarClose,BarVolume,BarSpread
2026-04-02T13:02:54.9390163Z,2026-04-02T13:01:00.0000000Z,GERMANY 40,M1,22766.9,22777.4,22766.9,22774.9,144,0.2999999999992724
2026-04-02T13:03:00.0377588Z,2026-04-02T13:02:00.0000000Z,GERMANY 40,M1,22775.4,22778.9,22759.9,22760.4,148,0.2999999999992724
2026-04-02T13:04:00.1960939Z,2026-04-02T13:03:00.0000000Z,GERMANY 40,M1,22759.9,22775.4,22758.9,22775.4,142,0.2999999999992724
2026-04-02T13:05:00.2952605Z,2026-04-02T13:04:00.0000000Z,GERMANY 40,M1,22774.9,22778.9,22769.9,22778.9,126,0.2999999999992724
2026-04-02T13:06:00.5023372Z,2026-04-02T13:05:00.0000000Z,GERMANY 40,M1,22777.9,22783.4,22774.9,22778.4,114,0.2999999999992724
2026-04-02T13:07:00.8976939Z,2026-04-02T13:06:00.0000000Z,GERMANY 40,M1,22777.4,22796.9,22776.4,22781.9,138,0.2999999999992724
2026-04-02T13:08:00.2011329Z,2026-04-02T13:07:00.0000000Z,GERMANY 40,M1,22782.4,22788.9,22782.4,22787.4,104,0.2999999999992724
2026-04-02T13:09:00.0255218Z,2026-04-02T13:08:00.0000000Z,GERMANY 40,M1,22786.4,22786.4,22774.4,22775.4,134,0.2999999999992724
2026-04-02T13:10:00.2982758Z,2026-04-02T13:09:00.0000000Z,GERMANY 40,M1,22774.4,22775.9,22767.4,22768.4,110,0.2999999999992724
2026-04-02T13:11:00.0297510Z,2026-04-02T13:10:00.0000000Z,GERMANY 40,M1,22769.4,22773.4,22754.4,22759.9,128,0.2999999999992724
2026-04-02T13:12:00.3235781Z,2026-04-02T13:11:00.0000000Z,GERMANY 40,M1,22761.9,22764.9,22755.4,22762.4,120,0.2999999999992724
2026-04-02T13:13:00.4966728Z,2026-04-02T13:12:00.0000000Z,GERMANY 40,M1,22762.9,22763.4,22747.9,22750.9,142,0.2999999999992724
2026-04-02T13:14:01.0384645Z,2026-04-02T13:13:00.0000000Z,GERMANY 40,M1,22751.9,22756.9,22746.9,22756.4,100,0.2999999999992724
2026-04-02T13:15:00.8954647Z,2026-04-02T13:14:00.0000000Z,GERMANY 40,M1,22756.9,22757.9,22748.4,22754.4,100,0.2999999999992724
2026-04-02T13:16:00.4098082Z,2026-04-02T13:15:00.0000000Z,GERMANY 40,M1,22756.4,22772.9,22753.4,22765.9,154,0.2999999999992724
2026-04-02T13:17:01.6212957Z,2026-04-02T13:16:00.0000000Z,GERMANY 40,M1,22764.9,22771.9,22761.4,22762.4,146,0.2999999999992724
2026-04-02T13:18:00.8959503Z,2026-04-02T13:17:00.0000000Z,GERMANY 40,M1,22763.4,22774.9,22760.4,22774.9,118,0.2999999999992724
